15690;06258;Döllnitz bei Halle, Saale;DEUTSCHLAND;SACHSEN-ANHALT;51.4069912401083;12.0292508148193
15696;67806;Dörnbach bei Rockenhausen;DEUTSCHLAND;RHEINLAND-PFALZ;49.6167;7.8
15721;06369;Dohndorf;DEUTSCHLAND;SACHSEN-ANHALT;51.72454;11.87285
15725;15306;Dolgelin;DEUTSCHLAND;BRANDENBURG;52.4955;14.4071
15727;15754;Dolgenbrodt;DEUTSCHLAND;BRANDENBURG;52.25616;13.7638899999999
15729;26831;Dollart, Ostfriesland;DEUTSCHLAND;NIEDERSACHSEN;53.2540735003104;7.23170142822266
15731;03238;Dollenchen;DEUTSCHLAND;BRANDENBURG;51.60918;13.86193
15734;15913;Dollgen;DEUTSCHLAND;BRANDENBURG;52.01763;14.03886
15755;16837;Dorf Zechlin;DEUTSCHLAND;BRANDENBURG;53.1347418240724;12.7473880950928
15761;39264;Dornburg, Elbe;DEUTSCHLAND;SACHSEN-ANHALT;52.03444;11.8811499999999
15773;26553;Dornumersiel;DEUTSCHLAND;NIEDERSACHSEN;53.6766;7.47387
15782;16909;Dossow;DEUTSCHLAND;BRANDENBURG;53.12172;12.5255500000001
15784;57319;Dotzlar;DEUTSCHLAND;NORDRHEIN-WESTFALEN;51.0157;8.40909
15797;16909;Dranse;DEUTSCHLAND;BRANDENBURG;53.1991;12.62144
15800;06712;Draschwitz bei Zeitz, Elster;DEUTSCHLAND;SACHSEN-ANHALT;51.1;12.1833
15817;19243;Dreilützow;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.53402;11.11344
15828;04934;Dreska;DEUTSCHLAND;BRANDENBURG;51.4850638302804;13.5393081481934
15831;16866;Drewen;DEUTSCHLAND;BRANDENBURG;52.9855736038744;12.3972534179687
15833;03197;Drewitz, Niederlausitz;DEUTSCHLAND;BRANDENBURG;51.8969;14.51107
15835;03130;Drieschnitz-Kahsel;DEUTSCHLAND;BRANDENBURG;51.6636122531771;14.4722534179688
15839;19243;Drönnewitz bei Hagenow;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.58569;11.0385699999999
15849;15926;Duben;DEUTSCHLAND;BRANDENBURG;51.89576;13.80696
15857;03253;Dübrichen;DEUTSCHLAND;BRANDENBURG;51.66763;13.47158
15872;15913;Dürrenhofe;DEUTSCHLAND;BRANDENBURG;52.02633;13.94597
15898;39179;Ebendorf;DEUTSCHLAND;SACHSEN-ANHALT;52.18371;11.57165
15949;38667;Eckertal;DEUTSCHLAND;NIEDERSACHSEN;51.9002;10.6518
16023;16356;Eiche bei Bernau bei Berlin;DEUTSCHLAND;BRANDENBURG;52.5621;13.58974
16034;03238;Eichholz-Drößig;DEUTSCHLAND;BRANDENBURG;51.6083;13.6583
16049;38838;Eilenstedt;DEUTSCHLAND;SACHSEN-ANHALT;51.98308;11.04341
16051;38838;Eilsdorf bei Halberstadt;DEUTSCHLAND;SACHSEN-ANHALT;51.99759;10.9937600000001
16097;38875;Elbingerode (Harz);DEUTSCHLAND;SACHSEN-ANHALT;51.76919;10.8071199999999
16103;19309;Eldenburg;DEUTSCHLAND;BRANDENBURG;53.1138;11.44168
16137;23948;Elmenhorst bei Grevesmühlen;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.99261;11.12388
16153;57319;Elsoff, Kreis Wittgenstein;DEUTSCHLAND;NORDRHEIN-WESTFALEN;51.0259;8.51364
16204;06333;Endorf am Harz;DEUTSCHLAND;SACHSEN-ANHALT;51.71375;11.3743899999999
16278;08349;Erlabrunn, Erzgebirge;DEUTSCHLAND;SACHSEN;50.4667;12.7
16294;06258;Ermlitz;DEUTSCHLAND;SACHSEN-ANHALT;51.3912273128637;12.1605201904297
16295;06463;Ermsleben;DEUTSCHLAND;SACHSEN-ANHALT;51.7332335538212;11.3493058306885
16383;14641;Etzin;DEUTSCHLAND;BRANDENBURG;52.51706;12.8515600000001
16406;98631;Exdorf;DEUTSCHLAND;THUERINGEN;50.4667;10.55
16412;14532;Fahlhorst;DEUTSCHLAND;BRANDENBURG;52.3066654472316;13.1623226348877
